Gene	NCBI gene ID	Chromosome	Locus	No of Studies	Proteins
USP2	9099	11	11q23.3	12	XP_005271778;XP_005271779;XP_016874028;XP_054226438;XP_054226439;XP_054226440;NP_001230688;NP_004196;NP_741994;O75604;E9PJ34;E9PSH6;ENSP00000260187;ENSP00000407842;ENSP00000436952;ENSP00000433977;ENSP00000431857
USP20	10868	9	9q34.11	39	NP_001008563;NP_001103773;NP_006667;Q9Y2K6;ENSP00000313811;ENSP00000361506;ENSP00000351122
USP21	27005	1	1q23.3	11	XP_016856525;XP_016856526;XP_016856527;XP_016856528;XP_047273935;XP_047273936;XP_047273937;XP_047273938;XP_047273939;XP_054191967;XP_054191968;XP_054191969;XP_054191970;XP_054191971;XP_054191972;XP_054191973;XP_054191974;NP_001014443;NP_001306776;NP_001306777;NP_036607;Q9UK80;A0A8Q3SIU3;A0A1W2PQ32;A0A1W2PRX0;V9GY36;V9GYJ6;ENSP00000476344;ENSP00000289865;ENSP00000356981;ENSP00000476830;ENSP00000356980;ENSP00000492693;ENSP00000512748;ENSP00000491514
USP22	23326	17	17p11.2	39	XP_005256632;XP_047291659;XP_054171598;XP_054171599;NP_056091;Q9UPT9;J3QRV6;J3QS30;K7ERX6;K7ESK0;ENSP00000261497;ENSP00000440950;ENSP00000464398;ENSP00000464499;ENSP00000468457;ENSP00000468748
USP24	23358	1	1p32.3	62	XP_005270747;XP_016856320;XP_016856321;XP_016856325;XP_016856326;XP_047272480;XP_047272481;XP_047272482;XP_047272483;XP_054191582;XP_054191583;XP_054191584;XP_054191585;XP_054191586;XP_054191587;XP_054191588;XP_054191589;XP_054191590;NP_056121;Q9UPU5;A0A0U1RQI9;A0A0U1RRH2;ENSP00000294383;ENSP00000489026;ENSP00000489531
USP25	29761	21	21q21.1	40	XP_005261006;XP_011527831;XP_011527837;XP_047296701;XP_047296702;XP_047296703;XP_047296704;XP_047296705;XP_047296706;XP_047296707;XP_054180413;XP_054180414;XP_054180415;XP_054180416;XP_054180417;XP_054180418;XP_054180419;XP_054180420;XP_054180421;XP_054180422;XP_054180423;NP_001269970;NP_001269971;NP_001339489;NP_001339490;NP_001375228;NP_001375229;NP_001375230;NP_001375231;NP_037528;Q9UHP3;Q96B65;H7C1T8;H7C253;ENSP00000383044;ENSP00000285679;ENSP00000299574;ENSP00000285681;ENSP00000404086;ENSP00000402354
USP28	57646	11	11q23.2	51	NP_001287958;NP_001333181;NP_001333182;NP_001333183;NP_001333184;NP_001333186;NP_001333187;NP_001333188;NP_001333189;NP_001333190;NP_001333191;NP_001333192;NP_001333193;NP_001333194;NP_001333196;NP_001333197;NP_001333198;NP_001333199;NP_001333200;NP_001333201;NP_001333202;NP_001387713;NP_001387714;NP_001387715;NP_001387716;NP_001387717;NP_001387718;NP_001387719;NP_001387720;NP_001387721;NP_001387722;NP_001387723;NP_001387724;NP_001387725;NP_001387726;NP_001387728;NP_001387729;NP_001387730;NP_001387731;NP_001387732;NP_001387733;NP_001387734;NP_001387735;NP_001387736;NP_001387738;NP_001387739;NP_001387740;NP_001387741;NP_001387742;NP_065937;Q96RU2;B4E3L3;A0A8V8TKW5;A0A8V8TLZ9;F5GZ74;F5H2G4;F5H6Q3;G3V1N5;H0YFA0;H0YFD7;H0YFT9;H0YFX3;H0YG96;H0YH19;ENSP00000003302;ENSP00000513009;ENSP00000442431;ENSP00000513008;ENSP00000444991;ENSP00000441513;ENSP00000440260;ENSP00000442257;ENSP00000445743;ENSP00000438050;ENSP00000437688;ENSP00000445722;ENSP00000440799;ENSP00000446284;ENSP00000437450
USP3	9960	15	15q22.31	36	XP_016878252;XP_016878253;XP_016878254;XP_047289349;XP_047289350;XP_047289351;XP_054235272;XP_054235273;XP_054235274;XP_054235275;XP_054235276;XP_054235277;NP_001243631;NP_006528;Q9Y6I4;H0YLB7;H0YMI4;Q6JHV3;H0YKU8;H0YL81;H0YLG0;H0YLJ0;H0YM72;H0YMP6;H0YMW1;H0YNK1;H0YNX9;ENSP00000445828;ENSP00000369681;ENSP00000453688;ENSP00000453194;ENSP00000454043;ENSP00000452929;ENSP00000453767;ENSP00000453228;ENSP00000453093;ENSP00000454197;ENSP00000268049;ENSP00000453619;ENSP00000452947;ENSP00000445793;ENSP00000453138;ENSP00000453489
USP30	84749	12	12q24.11	21	XP_005254019;XP_005254022;XP_016875537;XP_016875538;XP_016875539;XP_016875540;XP_016875541;XP_016875542;XP_047285688;XP_047285689;XP_047285690;XP_047285691;XP_054229537;XP_054229538;XP_054229539;XP_054229540;XP_054229541;XP_054229542;XP_054229543;XP_054229544;XP_054229545;XP_054229546;XP_054229547;XP_054229548;NP_001288104;NP_116052;Q70CQ3;B3KUS5;F5GXG2;F5H3L3;F5H8D3;S4R354;S4R3D1;ENSP00000376535;ENSP00000257548;ENSP00000443678;ENSP00000473942;ENSP00000438829;ENSP00000440837;ENSP00000474166
USP31	57478	16	16p12.2	25	XP_016878986;XP_016878987;XP_016878988;XP_047290345;XP_054169505;XP_054169506;XP_054169507;XP_054169508;NP_001374150;NP_065769;Q70CQ4;A0A087WXV9;I3L4X5;ENSP00000219689;ENSP00000461621;ENSP00000481339
USP32	84669	17	17q23.1-q23.2	43	XP_011523673;XP_011523674;XP_011523675;XP_011523676;XP_011523677;XP_011523678;XP_011523680;XP_011523681;XP_016880722;XP_047292899;XP_047292900;XP_047292901;XP_054173541;XP_054173542;XP_054173543;XP_054173544;XP_054173545;XP_054173546;XP_054173547;XP_054173548;XP_054173549;XP_054173550;XP_054173551;XP_054173552;NP_115971;Q8NFA0;K7EQL6;K7EKZ1;K7EII4;K7EKK3;K7EL53;K7EN13;K7ENU6;K7EPL4;ENSP00000300896;ENSP00000467885;ENSP00000466740;ENSP00000465844;ENSP00000464762;ENSP00000465922;ENSP00000465659;ENSP00000376727;ENSP00000467098;ENSP00000467435
USP33	23032	1	1p31.1	37	XP_011539358;XP_047305687;XP_047305691;XP_054191234;XP_054191235;XP_054191236;NP_001364359;NP_001364360;NP_001364361;NP_001364362;NP_001364363;NP_001364364;NP_001364365;NP_001364366;NP_001364367;NP_001364368;NP_055832;NP_963918;NP_963920;Q8TEY7;E9PQP0;H0YCV3;E9PLK7;E9PP47;H0YD08;ENSP00000359830;ENSP00000432392;ENSP00000350009;ENSP00000359829;ENSP00000359828;ENSP00000432667;ENSP00000434441;ENSP00000433283;ENSP00000436441
USP34	9736	2	2p15	55	NP_055524;Q70CQ2;A0A0C4DG73;H7C183;H7BZ73;H7C150;ENSP00000398960;ENSP00000381577;ENSP00000398489;ENSP00000410559;ENSP00000388129
USP35	57558	11	11q14.1	25	XP_011543489;XP_011543490;XP_047283288;XP_047283290;XP_047283291;XP_054225458;XP_054225459;XP_054225460;XP_054225461;NP_065849;Q9P2H5;E9PK78;E9PRM2;H0YEP1;ENSP00000435468;ENSP00000436001;ENSP00000431876;ENSP00000436253;ENSP00000434942
USP36	57602	17	17q25.3	46	XP_011523367;XP_011523368;XP_011523370;XP_011523371;XP_011523373;XP_016880390;XP_024306613;XP_024306614;XP_047292424;XP_047292425;XP_047292426;XP_047292427;XP_047292428;XP_047292429;XP_047292430;XP_047292431;XP_047292432;XP_054172735;XP_054172736;XP_054172737;XP_054172738;XP_054172739;XP_054172740;XP_054172741;XP_054172742;XP_054172743;XP_054172744;XP_054172745;XP_054172746;XP_054172747;XP_054172748;XP_054172749;XP_054172750;XP_054172751;XP_054172752;NP_001308220;NP_001372098;NP_001372099;NP_001372100;NP_001372101;NP_001372102;NP_001372103;NP_001372104;NP_001372105;NP_001372106;NP_001372107;NP_001372108;NP_001372109;Q9P275;E9PEW0;A0A075B784;A0A8I5QJW4;K7EIH0;K7EIT7;K7EJI3;K7EKL7;K7EKN3;K7ELR5;K7ELT3;K7EMM6;K7EPT1;K7EQS0;K7ERC1;K7ERP8;Q8IXW9;U3KQ92;ENSP00000465679;ENSP00000464746;ENSP00000468356;ENSP00000467280;ENSP00000464886;ENSP00000465698;ENSP00000401119;ENSP00000441214;ENSP00000510682;ENSP00000310590;ENSP00000468549;ENSP00000466567;ENSP00000466187;ENSP00000467682;ENSP00000467520;ENSP00000475654;ENSP00000467951;ENSP00000466212;ENSP00000468194;ENSP00000465183
USP37	57695	2	2q35	8	NP_065986;Q86T82;Q86W68;ENSP00000258399;ENSP00000393662;ENSP00000400902;ENSP00000396585;ENSP00000345043
USP38	84640	4	4q31.21	23	NP_001277254;NP_001277255;NP_001397777;NP_115946;Q8NB14;A0A804HIS3;A0A804HIT0;A0A804HL80;H0Y9H5;ENSP00000427647;ENSP00000303434;ENSP00000508233;ENSP00000507210;ENSP00000507201;ENSP00000424158
USP39	10713	2	2p11.2	59	XP_006711985;XP_047298943;XP_047298944;XP_054196188;XP_054196189;XP_054196190;XP_054196191;NP_001243654;NP_001243655;NP_001243656;NP_001243657;NP_006581;Q53GS9;B9A018;A0A087WW31;A0A087X1B2;C9J0X5;C9JIU2;F8WC91;ENSP00000396854;ENSP00000396133;ENSP00000484024;ENSP00000392911;ENSP00000386572;ENSP00000386864;ENSP00000312981;ENSP00000400690;ENSP00000386803;ENSP00000479885
USP4	7375	3	3p21.31	50	NP_001238806;NP_003354;NP_955475;Q13107;H7C189;C9JNU9;ENSP00000265560;ENSP00000341028;ENSP00000399079;ENSP00000400623;ENSP00000408274
USP40	55230	2	2q37.1	43	XP_011509699;XP_011509700;XP_011509701;XP_011509703;XP_016859916;XP_047300845;XP_047300846;XP_047300847;XP_047300848;XP_047300849;XP_054198743;XP_054198744;XP_054198745;XP_054198746;XP_054198747;XP_054198748;XP_054198749;XP_054198750;XP_054198751;XP_054198752;NP_001352408;NP_001369224;NP_001369225;NP_001369226;NP_001369227;NP_001369228;NP_001369229;NP_001369230;NP_001369231;NP_001369232;NP_060688;Q9NVE5;A0A7I2YQ75;C9JK14;H7BZ71;H7C0C4;H7C2T9;H7C307;ENSP00000251722;ENSP00000502952;ENSP00000387898;ENSP00000407696;ENSP00000394133;ENSP00000388121;ENSP00000408853;ENSP00000394154
USP42	84132	7	7p22.1	36	XP_005249940;XP_006715854;XP_011513875;XP_024302736;XP_024302737;XP_047276891;XP_047276892;XP_047276893;XP_047276894;XP_047276895;XP_047276896;XP_047276897;XP_047276898;XP_047276899;XP_047276900;XP_047276901;XP_054215173;XP_054215174;XP_054215175;XP_054215176;XP_054215177;XP_054215178;XP_054215179;XP_054215180;XP_054215181;XP_054215182;XP_054215183;XP_054215184;XP_054215185;XP_054215186;XP_054215187;NP_001352693;NP_001376579;NP_115548;Q9H9J4;B4DP25;C9JPC9;E5RJP3;E7EWZ4;F8WD92;ENSP00000301962;ENSP00000385964;ENSP00000416910;ENSP00000430568;ENSP00000431127;ENSP00000408217
USP43	124739	17	17p13.1	30	XP_011521941;XP_016879648;XP_016879649;XP_016879650;XP_047291275;XP_047291276;XP_054170979;XP_054170980;XP_054170981;XP_054170982;XP_054170983;XP_054170984;NP_001254505;NP_694942;Q70EL4;V9GXZ5;V9GZ20;ENSP00000285199;ENSP00000458963;ENSP00000459328;ENSP00000477318
USP45	85015	6	6q16.2	16	XP_005267227;XP_016866870;XP_016866874;XP_016866875;XP_047275378;XP_047275379;XP_047275380;XP_047275381;XP_047275382;XP_054212577;XP_054212578;XP_054212579;XP_054212580;XP_054212581;XP_054212582;XP_054212583;XP_054212584;XP_054212585;NP_001073950;NP_001332950;NP_001332951;NP_001332952;NP_001332953;NP_001332954;NP_001332955;NP_001332956;NP_001332957;NP_001332958;NP_001332959;NP_001332962;NP_116318;Q70EL2;E2QRF0;D6RBV3;D6RC01;D6RE98;H0Y8J5;H0Y8Q0;H0Y986;H0YA21;ENSP00000424372;ENSP00000421248;ENSP00000333376;ENSP00000358236;ENSP00000422460;ENSP00000423374;ENSP00000421706;ENSP00000425876;ENSP00000330540;ENSP00000423993;ENSP00000426861
USP46	64854	4	4q12	18	XP_047272044;XP_054206707;NP_001127695;NP_001273696;NP_001273697;NP_073743;P62068;D6R9Z4;H7BZK6;ENSP00000407818;ENSP00000390102;ENSP00000422018;ENSP00000426970;ENSP00000423244
USP47	55031	11	11p15.3	60	XP_011518498;XP_016873443;XP_054225196;XP_054225197;NP_001269588;NP_001317137;NP_001359020;NP_001359021;NP_001359022;NP_001359023;NP_001359024;NP_001359025;NP_001359026;NP_001359027;NP_001359028;NP_001359029;NP_001359030;NP_001359031;NP_001359032;NP_060414;Q96K76;ENSP00000339957;ENSP00000433146;ENSP00000382382
USP48	84196	1	1p36.12	53	XP_006711018;XP_011540566;XP_011540569;XP_011540570;XP_047287982;XP_047287983;XP_047287985;XP_047287986;XP_047287987;XP_047287988;XP_047287989;XP_054195088;XP_054195089;XP_054195090;XP_054195091;XP_054195092;XP_054195093;XP_054195094;XP_054195095;XP_054195096;XP_054195097;XP_054195098;NP_001027902;NP_001317323;NP_001337093;NP_001337095;NP_001337096;NP_001337097;NP_115612;Q86UV5;E9PJH5;A0A0A0MRS6;E9PJ87;E9PJ93;E9PRY5;H3BLX5;ENSP00000309262;ENSP00000383157;ENSP00000363864;ENSP00000431949;ENSP00000431832;ENSP00000435604;ENSP00000406256;ENSP00000363862;ENSP00000434073;ENSP00000435612
USP5	8078	12	12p13.31	62	NP_001092006;NP_001369517;NP_001369518;NP_001369519;NP_001369520;NP_003472;P45974;F5H571;ENSP00000373883;ENSP00000229268;ENSP00000444668
USP53	54532	4	4q26	21	XP_005263132;XP_005263134;XP_011530339;XP_016863802;XP_016863803;XP_047271782;XP_047271783;XP_047271784;XP_047271785;XP_047271786;XP_047271787;XP_047271788;XP_047271789;XP_047271790;XP_047271791;XP_047271792;XP_047271793;XP_054206225;XP_054206226;XP_054206227;XP_054206228;XP_054206229;XP_054206230;XP_054206231;XP_054206232;XP_054206233;XP_054206234;XP_054206235;XP_054206236;XP_054206237;XP_054206238;XP_054206239;XP_054206240;XP_054206241;NP_001358324;NP_001358325;NP_001358326;NP_001358327;NP_001358328;NP_001376587;NP_001376588;NP_001376589;NP_001376590;NP_001376591;NP_001376592;NP_001376593;NP_001376594;NP_001376595;NP_001376596;NP_061923;Q70EK8;A0A8I5KT61;A0A8J9FKG6;D6RF54;H0Y8Q1;ENSP00000274030;ENSP00000509606;ENSP00000409906;ENSP00000509357;ENSP00000426628;ENSP00000421729
USP54	159195	10	10q22.2	36	NP_001307366;NP_001307370;NP_001337924;NP_001365137;NP_001365138;NP_001365139;NP_001378870;NP_001378871;NP_001378874;NP_001378875;NP_001378876;NP_001378877;NP_001378878;NP_001378879;NP_001378880;NP_001378881;NP_001378882;NP_001378883;NP_001378884;NP_001378885;NP_689799;Q70EL1;A0A7P0T9K1;A0A7P0T9N2;A0A804D9U3;A0A8I5KNN9;A0A8I5KRV2;A0A8I5KTP4;A0A8I5KYV7;A0A8I5KYW2;H7C1E9;H7C296;R4GN32;X6RGF2;X6RH50;X6RHN7;ENSP00000404644;ENSP00000473466;ENSP00000399972;ENSP00000510226;ENSP00000345216;ENSP00000510202;ENSP00000505692;ENSP00000510416;ENSP00000508625;ENSP00000407368;ENSP00000508456;ENSP00000508413;ENSP00000505747;ENSP00000402435;ENSP00000404710;ENSP00000407245
USP6NL	9712	10	10p14	43	XP_006717605;XP_011518064;XP_011518065;XP_016872460;XP_024304031;XP_047281992;XP_047281993;XP_047281994;XP_054223207;XP_054223208;XP_054223209;XP_054223210;XP_054223211;XP_054223212;XP_054223213;XP_054223214;NP_001073960;NP_001378888;NP_001378889;NP_001378890;NP_055503;Q92738;V9GYH2;X6RAB3;ENSP00000277575;ENSP00000368539;ENSP00000476462;ENSP00000476748
USP7	7874	16	16p13.2	57	XP_047290561;XP_054169857;NP_001273386;NP_001273387;NP_001308787;NP_003461;Q93009;A0A669KBL1;F5H2X1;H3BND8;H3BMF6;H3BQD1;H3BRA2;H3BRI4;H3BTM1;H3BUV0;H3BVA7;I3L2D8;ENSP00000343535;ENSP00000501290;ENSP00000454362;ENSP00000371310;ENSP00000456258;ENSP00000454795;ENSP00000459594;ENSP00000458027;ENSP00000439272;ENSP00000456150;ENSP00000457237;ENSP00000455719;ENSP00000457815
USP8	9101	15	15q21.2	56	NP_001122082;NP_001269978;NP_005145;P40818;A0A075B720;H0YKV1;H0YLH2;H0YLS3;H0YM17;H0YM47;H0YNL5;ENSP00000453206;ENSP00000379721;ENSP00000412682;ENSP00000454003;ENSP00000302239;ENSP00000452950;ENSP00000485810;ENSP00000453427;ENSP00000457345;ENSP00000454059;ENSP00000453320;ENSP00000453460
USP9X	8239	X	Xp11.4	59	XP_005272732;XP_005272733;XP_047298504;XP_047298506;XP_054183906;XP_054183907;XP_054183908;XP_054183909;NP_001034679;NP_001034680;NP_001397677;NP_001397678;Q93008;A0A994J4K9;A0A994J4R6;A0A994J4T3;A0A994J4T8;A0A994J583;A0A994J588;A0A994J6S4;A0A994J766;A0A994J7K1;ENSP00000515974;ENSP00000316357;ENSP00000367558;ENSP00000515603;ENSP00000515604;ENSP00000515975;ENSP00000515976;ENSP00000515977;ENSP00000515978;ENSP00000515979;ENSP00000515980;ENSP00000515981
USPL1	10208	13	13q12.3	6	XP_006719814;XP_016875803;XP_016875804;XP_047285983;XP_047285984;XP_047285985;XP_047285986;XP_047285987;XP_047285988;XP_054229966;XP_054229967;XP_054229968;XP_054229969;XP_054229970;XP_054229971;NP_001308461;NP_001308462;NP_001308463;NP_005791;Q5W0Q7;ENSP00000255304;ENSP00000480656
UTP11	51118	1	1p34.3	28	XP_011539857;XP_054192868;NP_057121;Q9Y3A2;ENSP00000362105
UTP14A	10813	X	Xq26.1	51	XP_047297746;XP_047297747;XP_054182377;XP_054182378;NP_001159693;NP_006640;Q9BVJ6;X6RJY0;ENSP00000388669;ENSP00000377944;ENSP00000413187
UTP15	84135	5	5q13.2	33	XP_011541982;XP_054209656;NP_001271359;NP_001271360;NP_115551;Q8TED0;H0Y8P4;A0A1Y8EI88;D6RF65;ENSP00000424902;ENSP00000440796;ENSP00000421669;ENSP00000296792;ENSP00000424334;ENSP00000424609
UTP18	51096	17	17q21.33	55	XP_006721993;XP_011523172;XP_054172318;XP_054172319;NP_057085;Q9Y5J1;J3QR85;F6VJE8;J3KSR7;J3QLD6;J3QRG0;ENSP00000225298;ENSP00000441335;ENSP00000462614;ENSP00000464095;ENSP00000464194;ENSP00000463499
UTP20	27340	12	12q23.2	49	NP_055318;O75691;ENSP00000261637
UTP23	84294	8	8q24.11	24	XP_054217326;NP_115710;Q9BRU9;E5RG01;E5RGP0;E5RH13;E5RIC4;E5RIM0;G3XAM4;ENSP00000428455;ENSP00000429962;ENSP00000430029;ENSP00000308332;ENSP00000427767;ENSP00000429384;ENSP00000430309
UTP25	27042	1	1q32.2	30	H7C2R4;NP_055203.4;Q68CQ4;XP_006711338.1;XP_011507720.1
UTP3	57050	4	4q13.3	50	NP_065101;Q9NQZ2;ENSP00000254803
UTP4	84916	16	16q22.1	34	XP_005256262;XP_005256262;XP_047290773;XP_047290773;XP_054170183;XP_054170183;XP_054170184;XP_054170184;NP_001305320;NP_001305320;NP_116219;NP_116219;Q969X6;Q969X6;A0A0J9YWK2;A0A0J9YWK2;A0A0J9YWM9;A0A0J9YWM9;A0A0J9YX18;A0A0J9YX18;A0A0J9YXV4;A0A0J9YXV4;A0A0J9YXZ9;A0A0J9YXZ9;H3BPD7;H3BPD7;H3BRM8;H3BRM8;H3BSH7;H3BSH7;I3L4T9;I3L4T9;J3KSE6;J3KSE6;J3KSI1;J3KSI1;J3KTR0;J3KTR0;ENSP00000461517;ENSP00000461517;ENSP00000456709;ENSP00000456709;ENSP00000463109;ENSP00000463109;ENSP00000462497;ENSP00000462497;ENSP00000327179;ENSP00000327179;ENSP00000339164;ENSP00000339164;ENSP00000456622;ENSP00000456622;ENSP00000455269;ENSP00000455269;ENSP00000462451;ENSP00000462451;ENSP00000456317;ENSP00000456317
UTP6	55813	17	17q11.2	32	XP_011523299;XP_047292346;XP_047292347;XP_054172629;XP_054172630;XP_054172631;NP_060898;Q9NYH9;J3KRR8;J3QSA7;ENSP00000261708;ENSP00000462135;ENSP00000464599
UTRN	7402	6	6q24.2	58	NP_001362252;NP_009055;P46939;A0A0A0MSM3;A0A0D9SG57;H0Y337;Q5JT44;Q5JT45;Q5JT49;Q5T097;Q5T098;ENSP00000356515;ENSP00000487153;ENSP00000396276;ENSP00000356494;ENSP00000356496;ENSP00000356495;ENSP00000398923;ENSP00000404205;ENSP00000387927
UVRAG	7405	11	11q13.5	42	XP_047283476;XP_047283477;XP_047283478;XP_054225791;XP_054225792;XP_054225793;NP_001373600;NP_001373601;NP_001373602;NP_001373603;NP_003360;Q9P2Y5;E9PK00;E9PR71;H0YDD1;ENSP00000348455;ENSP00000436039;ENSP00000433613;ENSP00000431256;ENSP00000434082;ENSP00000436270;ENSP00000433414
UVSSA	57654	4	4p16.3	35	XP_016863979;XP_016863981;XP_016863982;XP_016863983;XP_016863984;XP_016863985;XP_016863986;XP_016863987;XP_016863988;XP_016863989;XP_024309930;XP_047271981;XP_047271982;XP_047271983;XP_047271984;XP_054206590;XP_054206591;XP_054206592;XP_054206593;XP_054206594;XP_054206595;XP_054206596;XP_054206597;XP_054206598;XP_054206599;XP_054206600;XP_054206601;XP_054206602;XP_054206603;XP_054206604;XP_054206605;NP_001304863;NP_001304864;NP_065945;Q2YD98;A0A7I2V3L2;A0A7I2V554;A0A7I2V4K1;H0Y924;ENSP00000504268;ENSP00000503948;ENSP00000504544;ENSP00000374501;ENSP00000425130;ENSP00000503485;ENSP00000421741;ENSP00000504075;ENSP00000427701;ENSP00000422795
UXS1	80146	2	2q12.2	26	XP_011510204;XP_011510205;XP_024308925;XP_047301874;XP_054200010;XP_054200011;XP_054200012;XP_054200013;XP_054200014;XP_054200015;NP_001240804;NP_001240805;NP_001364433;NP_001364434;NP_001364435;NP_001364436;NP_001364437;NP_001364438;NP_079352;Q8NBZ7;A0A6Q8PGM4;C9J3T9;C9JCB7;C9JFU6;C9JW33;A0A6Q8PGN2;A0A6Q8PH60;C9JE50;ENSP00000283148;ENSP00000387019;ENSP00000387096;ENSP00000416656;ENSP00000403612;ENSP00000404468;ENSP00000399316;ENSP00000397049;ENSP00000502540;ENSP00000502305;ENSP00000502335
UXT	8409	X	Xp11.23	28	NP_004173;NP_705582;Q9UBK9;S4R2Z4;ENSP00000337393;ENSP00000327797;ENSP00000473785
VAC14	55697	16	16q22.1-q22.2	52	XP_005256095;XP_011521527;XP_047290316;XP_054169434;XP_054169435;XP_054169436;NP_001338086;NP_060522;Q08AM6;A0A087WT26;H3BN23;H3BQD9;H3BUU8;J3QLC3;ENSP00000463485;ENSP00000457809;ENSP00000261776;ENSP00000454650;ENSP00000439284;ENSP00000455731;ENSP00000477536
VAMP2	6844	17	17p13.1	32	NP_001317054;NP_055047;P63027;F8WCA0;J3QRU4;K7ENK9;ENSP00000314214;ENSP00000466995;ENSP00000418572;ENSP00000467399
VAMP3	9341	1	1p36.23	29	NP_004772;Q15836;K7EKX0;ENSP00000054666;ENSP00000465820
VAMP4	8674	1	1q24.3	48	XP_047289331;XP_054195370;NP_001172056;NP_003753;O75379;ENSP00000236192;ENSP00000435933;ENSP00000356714
VAMP5	10791	2	2p11.2	32	NP_006625;O95183;ENSP00000305647
VAMP7	6845	X|Y	Xq28 and Yq12	34	XP_011529490;XP_011543955;XP_016885249;XP_016885552;XP_054183601;XP_054183602;XP_054184297;XP_054184298;XP_054184299;XP_054184300;NP_001138621;NP_001172112;NP_005629;P51809;E5RH06;ENSP00000286448;ENSP00000430039;ENSP00000262640;ENSP00000427822
VAMP8	8673	2	2p11.2	53	XP_016860659;XP_054200303;NP_003752;Q9BV40;B8ZZT4;C9JXZ5;ENSP00000407984;ENSP00000263864;ENSP00000387094
VANGL1	81839	1	1p13.1	38	NP_001165882;NP_001165883;NP_620409;Q8TAA9;ENSP00000347672;ENSP00000358523;ENSP00000310800;ENSP00000358522
VANGL2	57216	1	1q23.2	22	XP_005245414;XP_011508106;XP_011508107;XP_047281976;XP_054193780;XP_054193781;XP_054193782;NP_065068;Q9ULK5;A0A8Q3SIN7;ENSP00000512747;ENSP00000357040
VAPA	9218	18	18p11.22	57	XP_016881568;XP_047293884;XP_047293885;XP_047293886;XP_047293887;XP_047293888;XP_054175328;XP_054175329;XP_054175330;XP_054175331;XP_054175332;XP_054175333;XP_054175334;NP_003565;NP_919415;Q9P0L0;J3QKM9;ENSP00000382880;ENSP00000345656;ENSP00000463155
VAPB	9217	20	20q13.32	56	NP_001182606;NP_004729;O95292;E5RK64;ENSP00000417175;ENSP00000379147;ENSP00000430426
VARS1	7407	6	6p21.33	54	XP_005249419;XP_047275252;XP_047275253;XP_047275254;XP_054184482;XP_054184483;XP_054185836;XP_054185837;XP_054186320;XP_054186321;XP_054186836;XP_054186837;XP_054212286;XP_054212287;NP_006286;P26640;A0A140T936;H0Y426;A0A0G2JJT9;A0A140T904;A0A140T954;A2ABF4;ENSP00000364815;ENSP00000415679;ENSP00000413925
VASH1	22846	14	14q24.3	19	XP_016876576;XP_016876580;XP_047287037;XP_047287038;XP_047287039;XP_047287040;XP_047287041;XP_054231547;XP_054231548;XP_054231549;XP_054231550;XP_054231551;XP_054231552;NP_055724;Q7L8A9;G3V4N9;ENSP00000167106;ENSP00000451613;ENSP00000451908
VASH2	79805	1	1q32.3	2	NP_001129946;NP_001129947;NP_001287985;NP_079025;Q86V25;C9JY36;ENSP00000430319;ENSP00000428324;ENSP00000355935;ENSP00000419918;ENSP00000355931;ENSP00000355932;ENSP00000429040
VASN	114990	16	16p13.3	30	NP_612449;Q6EMK4;ENSP00000306864
VASP	7408	19	19q13.32	59	XP_005259256;XP_005259257;XP_016882689;XP_054177916;XP_054177917;XP_054177918;NP_003361;P50552;A0A994J508;A0A994J7X3;K7EIG8;K7EM16;K7ENL7;K7ENR7;K7EQD0;ENSP00000467061;ENSP00000245932;ENSP00000464742;ENSP00000467773;ENSP00000467005;ENSP00000516196;ENSP00000516197;ENSP00000466319
VAT1	10493	17	17q21.31	56	NP_006364;Q99536;K7EJM4;K7EM19;K7ENX2;K7ER81;K7ERT7;K7ESA3;ENSP00000465239;ENSP00000347872;ENSP00000465946;ENSP00000408553;ENSP00000468621;ENSP00000466322;ENSP00000467131;ENSP00000468146;ENSP00000468401
VAT1L	57687	16	16q23.1	27	NP_065978;Q9HCJ6;ENSP00000303129
VAV1	7409	19	19p13.3	40	XP_005259699;XP_054177919;NP_001245135;NP_001245136;NP_005419;P15498;A0A0A0MR07;F5H5P4;Q96D37;ENSP00000472929;ENSP00000302269;ENSP00000469450;ENSP00000472803;ENSP00000443242
VAV2	7410	9	9q34.2	56	XP_016870597;XP_016870598;XP_016870599;XP_016870602;XP_047279801;XP_047279803;XP_054219722;XP_054219723;XP_054219724;XP_054219725;XP_054219726;XP_054219727;XP_054219728;NP_001127870;NP_001397957;NP_003362;P52735;ENSP00000385362;ENSP00000360916;ENSP00000360917
VAV3	10451	1	1p13.3	29	XP_005270417;XP_005270418;XP_016855542;XP_016855543;XP_016855544;XP_016855545;XP_024306087;XP_047286395;XP_047286432;XP_047286499;XP_047286511;XP_054189811;XP_054189812;XP_054189813;XP_054189814;XP_054189815;XP_054189816;XP_054189817;XP_054189818;XP_054189819;XP_054189820;XP_054189821;NP_001073343;NP_006104;Q9UKW4;E9PMJ5;H0YCG7;H0YDG2;ENSP00000359073;ENSP00000432540;ENSP00000432865;ENSP00000394897;ENSP00000434944;ENSP00000431544;ENSP00000433559
VBP1	7411	X	Xq28	48	NP_001290472;NP_001290473;NP_001290474;NP_003363;P61758;ENSP00000438694;ENSP00000486053;ENSP00000286428
